Trial,Time_Bin,Col_ID,Workers,Presence,Col_Size
Discovery,29,GGG,3,1,51
Discovery,30,GGG,3,1,51
Discovery,31,GGG,5,1,51
Discovery,32,GGG,4,1,51
Discovery,33,GGG,3,1,51
Discovery,34,GGG,6,1,51
Discovery,35,GGG,6,1,51
Discovery,36,GGG,1,1,51
Discovery,37,GGG,5,1,51
Discovery,38,GGG,3,1,51
Discovery,39,GGG,2,1,51
Discovery,40,GGG,1,1,51
Discovery,41,GGG,6,1,51
Discovery,42,GGG,1,1,51
Discovery,43,GGG,0,0,51
Discovery,44,GGG,1,1,51
Discovery,45,GGG,4,1,51
Discovery,46,GGG,5,1,51
Discovery,47,GGG,2,1,51
Discovery,48,GGG,1,1,51
Discovery,49,GGG,0,0,51
Discovery,50,GGG,1,1,51
Discovery,51,GGG,2,1,51
Discovery,52,GGG,2,1,51
Discovery,53,GGG,1,1,51
Discovery,54,GGG,2,1,51
Discovery,55,GGG,2,1,51
Discovery,56,GGG,2,1,51
Discovery,57,GGG,2,1,51
Discovery,58,GGG,1,1,51
Discovery,59,GGG,2,1,51
Discovery,60,GGG,4,1,51
Competition,1,A,3,1,53
Competition,2,A,3,1,53
Competition,3,A,3,1,53
Competition,4,A,5,1,53
Competition,5,A,4,1,53
Competition,6,A,4,1,53
Competition,7,A,4,1,53
Competition,8,A,4,1,53
Competition,9,A,2,1,53
Competition,10,A,2,1,53
Competition,11,A,3,1,53
Competition,12,A,2,1,53
Competition,13,A,2,1,53
Competition,14,A,1,1,53
Competition,15,A,2,1,53
Competition,16,A,1,1,53
Competition,17,A,2,1,53
Competition,18,A,2,1,53
Competition,19,A,0,0,53
Competition,20,A,2,1,53
Competition,21,A,2,1,53
Competition,22,A,3,1,53
Competition,23,A,1,1,53
Competition,24,A,3,1,53
Competition,25,A,3,1,53
Competition,26,A,2,1,53
Competition,27,A,2,1,53
Competition,28,A,3,1,53
Competition,29,A,3,1,53
Competition,30,A,3,1,53
Competition,31,A,4,1,53
Competition,32,A,3,1,53
Competition,33,A,2,1,53
Competition,34,A,3,1,53
Competition,35,A,4,1,53
Competition,36,A,4,1,53
Competition,37,A,5,1,53
Competition,38,A,4,1,53
Competition,39,A,4,1,53
Competition,40,A,3,1,53
Competition,41,A,3,1,53
Competition,42,A,5,1,53
Competition,43,A,3,1,53
Competition,44,A,4,1,53
